"","province","year","inst_val","inst_log","inst_comp","cult_val","cult_comp","infra_val","infra_log","infra_comp","demand_val","demand_log","demand_comp","netw_val","netw_comp","leader_val","leader_vc","finance_val","finance","talent_val","talent_cv","rd","knowl_val","know_comp","inter_val","inter_comp","X","index_value","index_mult","gazelle"
"1","Drenthe","2009","1.59","4.904","1.275","10.653","0.838","0.03","1.03","0.629","-0.42","0.657","0.274","53","0.885793921","0.35","0.207","56195.48362","0.136545016","0.213888889","0.816","52",NA,"0.22","0.128","0.721","12881","6.005","0.000601416",0.000405797
"2","Drenthe","2012","1.59","4.904","1.275","10.048","0.801","0.13","1.139","0.304","0.03","1.03","0.429","53","0.864","0.35","0.207","4196","0.013","0.216","0.794362066",NA,"0.007514842","0.38","0.135","0.661",NA,"5.732","6.1e-05",7.4757e-05
"3","Drenthe","2015","1.04","2.83","0.94","10.048","0.801","0.49","1.625","0.631","-0.1","0.908","0.468","51.8","1.073","0.35","0.207","499381.1143","1.421","0.247","0.855440215",NA,"0.0080394","0.39","0.153","0.724",NA,"7.515","0.017134323",7.5339e-05
"4","Flevoland","2009","1.3","3.669","0.954","13.947","1.098","0.13","1.139","0.696","-0.26","0.771","0.321","60","1.002785571","0.77","0.45","363828.8023","0.884039186","0.228070175","0.87","154",NA,"0.88","0.149","0.839","9615","7.995","0.059972457",0.000533867
"5","Flevoland","2012","1.3","3.669","0.954","11.411","0.91","1.1","3.004","0.801","0.87","2.387","0.995","60","0.978","0.77","0.45","58131","0.176","0.238","0.87535014",NA,"0.017313791","0.88","0.162","0.795",NA,"7.818","0.032946604",0.000176108
"6","Flevoland","2015","1.04","2.836","0.942","11.411","0.91","0.79","2.199","0.855","0.74","2.104","1.083","46.6","0.965","0.77","0.45","37218.96591","0.106","0.24","0.830449827",NA,"0.015006489","0.74","0.17","0.806",NA,"7.684","0.0179867",0.000111235
"7","Friesland ","2009","1.59","4.904","1.275","11.625","0.915","0.27","1.31","0.8","-0.4","0.67","0.279","58","0.969359385","0.33","0.19","41949.92507","0.101930846","0.205450734","0.784","139",NA,"0.42","0.133","0.746","18012","6.486","0.001216384",0.000313742
"8","Friesland ","2012","1.59","4.904","1.275","10.771","0.859","0.24","1.271","0.339","-0.13","0.878","0.366","62","1.011","0.33","0.19","19860","0.06","0.223","0.821257522",NA,"0.00864218","0.44","0.154","0.755",NA,"6.117","0.000429619",0.000115296
"9","Friesland ","2015","1.14","3.139","1.043","10.771","0.859","0.05","1.048","0.407","-0.28","0.759","0.391","48.5","1.005","0.33","0.19","34047.07984","0.097","0.219","0.758500625",NA,"0.008471779","0.42","0.157","0.744",NA,"5.91","0.000619502",0.000227114
"10","Gelderland","2009","1.23","3.421","0.89","11.56","0.91","0.68","1.974","1.206","0.64","1.896","0.79","61","1.019498664","2.28","1.334","309029.5313","0.750886718","0.261985145","1","1210",NA,"1.13","0.165","0.929","58993","9.955","0.824164151",0.000526833
"11","Gelderland","2012","1.23","3.421","0.89","12.989","1.035","1.66","5.259","1.402","1.04","2.829","1.179","61","0.995","2.28","1.334","236751","0.717","0.258","0.949795806",NA,"0.023456599","1.2","0.187","0.914",NA,"10.613","1.506980768",0.000222816
"12","Gelderland","2015","1.09","2.988","0.992","12.989","1.035","1.08","2.936","1.141","0.78","2.192","1.129","47.3","0.98","2.28","1.334","102516.2154","0.292","0.283","0.980468339",NA,"0.02169942","1.07","0.195","0.922",NA,"9.871","0.486093957",0.000229183
"13","Groningen","2009","1.59","4.904","1.275","11.096","0.873","-0.11","0.896","0.547","-0.16","0.852","0.355","65","1.086351035","1.84","1.074","489019.7916","1.188230991","0.248858447","0.95","474",NA,"0.99","0.13","0.732","26203","9.075","0.207338678",0.00043456
"14","Groningen","2012","1.59","4.904","1.275","10.371","0.827","-0.16","0.852","0.227","-0.24","0.787","0.328","67","1.092","1.84","1.074","84696","0.257","0.27","0.991407799",NA,"0.015518606","0.79","0.151","0.742",NA,"7.606","0.013781649",0.000273973
"15","Groningen","2015","1.13","3.091","1.027","10.371","0.827","-0.31","0.736","0.286","-0.27","0.765","0.394","50.3","1.042","1.84","1.074","42345.32867","0.12","0.275","0.950012358",NA,"0.020715487","1.02","0.172","0.816",NA,"7.553","0.01016605",0.000317676
"16","Limburg","2009","1.12","3.065","0.797","9.696","0.763","0.71","2.034","1.243","0.53","1.699","0.708","59","0.986072478","1.02","0.595","83090.56984","0.201895285","0.221962617","0.847","603",NA,"0.97","0.133","0.744","34055","7.858","0.038909737",0.000461125
"17","Limburg","2012","1.12","3.065","0.797","9.694","0.773","1.99","7.316","1.95","1.26","3.525","1.469","60","0.978","1.02","0.595","228717","0.693","0.23","0.846103628",NA,"0.019410291","0.99","0.147","0.721",NA,"9.814","0.430833488",0.000210847
"18","Limburg","2015","1.09","2.967","0.985","9.694","0.773","1.32","3.732","1.451","0.88","2.414","1.243","47.1","0.976","1.02","0.595","68681.73754","0.195","0.248","0.858945654",NA,"0.018564258","0.91","0.155","0.734",NA,"8.723","0.089569354",0.000212623
"19","Noord-Brabant","2009","1.12","3.065","0.797","12.157","0.957","0.61","1.84","1.124","0.93","2.535","1.056","58","0.969359385","1.76","1.027","306283.5781","0.744214541","0.247007617","0.943","2025",NA,"1.32","0.168","0.946","84169","9.885","0.790488226",0.000545304
"20","Noord-Brabant","2012","1.12","3.065","0.797","12.146","0.968","1.98","7.243","1.93","1.27","3.561","1.484","60","0.978","1.76","1.027","245136","0.743","0.263","0.967596403",NA,"0.025893958","1.32","0.199","0.977",NA,"11.194","2.061146539",0.000261915
"21","Noord-Brabant","2015","1.06","2.879","0.956","12.146","0.968","1.42","4.152","1.614","0.97","2.642","1.361","48.5","1.005","1.76","1.027","242545.4385","0.69","0.275","0.95206351",NA,"0.027771796","1.36","0.206","0.975",NA,"10.911","1.832281285",0.000387171
"22","Noord-Holland","2009","1.3","3.669","0.954","16.292","1.282","0.69","1.994","1.218","0.9","2.46","1.025","63","1.05292485","1.44","0.843","681650.0659","1.656288248","0.302244389","1.154","1839",NA,"0.97","0.201","1.131","104530","11.282","2.829562998",0.000451205
"23","Noord-Holland","2012","1.3","3.669","0.954","16.065","1.281","1.1","3.004","0.801","0.87","2.387","0.995","67","1.092","1.44","0.843","329008","0.997","0.311","1.144070232",NA,"0.018789456","0.96","0.229","1.122",NA,"10.188","1.100204288",0.00025673
"24","Noord-Holland","2015","1.04","2.836","0.942","16.065","1.281","0.79","2.199","0.855","0.74","2.104","1.083","46.4","0.961","1.44","0.843","658360.2147","1.873","0.332","1.14844522",NA,"0.017188117","0.84","0.234","1.11",NA,"10.94","1.823941413",0.00042239
"25","Overijssel","2009","1.23","3.421","0.89","11.137","0.877","0.48","1.616","0.987","0.18","1.197","0.499","60","1.002785571","1.65","0.963","385425.9866","0.936516497","0.23345367","0.891","527",NA,"0.84","0.141","0.794","34532","8.679","0.206260133",0.000675295
"26","Overijssel","2012","1.23","3.421","0.89","11.049","0.881","1.13","3.096","0.825","0.43","1.537","0.641","65","1.06","1.65","0.963","330005","1","0.247","0.907067237",NA,"0.017185336","0.88","0.174","0.852",NA,"8.896","0.28687659",0.000282714
"27","Overijssel","2015","1.24","3.462","1.15","11.049","0.881","1.03","2.791","1.085","0.19","1.203","0.62","48.9","1.013","1.65","0.963","270918.8","0.771","0.255","0.882496603",NA,"0.018649397","0.92","0.186","0.881",NA,"9.162","0.364714793",0.000462789
"28","Utrecht","2009","1.31","3.706","0.964","14.051","1.106","0.81","2.248","1.373","0.82","2.27","0.946","65","1.086351035","1.73","1.009","901947.953","2.191572875","0.344370861","1.314","1005",NA,"1.08","0.24","1.349","50950","12.423","6.390752375",0.000811359
"29","Utrecht","2012","1.31","3.706","0.964","14.634","1.167","1.76","5.812","1.549","1.45","4.263","1.776","64","1.043","1.73","1.009","312804","0.948","0.358","1.314447773",NA,"0.020379542","1.04","0.266","1.304",NA,"12.115","5.506915189",0.000488885
"30","Utrecht","2015","1.15","3.143","1.044","14.634","1.167","1.65","5.205","2.023","1.25","3.484","1.794","48.8","1.011","1.73","1.009","480170.3356","1.366","0.38","1.315905225",NA,"0.022341753","1.1","0.263","1.246",NA,"13.073","11.07954591",0.000474515
"31","Zeeland","2009","1.31","3.706","0.964","10.498","0.826","0.35","1.419","0.867","-0.12","0.887","0.37","55","0.919220107","0.39","0.229","104063.231","0.252855116","0.195729537","0.747","76",NA,"0.35","0.1","0.56","12053","6.082","0.001972145",0.000513347
"32","Zeeland","2012","1.31","3.706","0.964","10.56","0.842","0.82","2.27","0.605","0.77","2.16","0.9","55","0.897","0.39","0.229","26321","0.08","0.199","0.730079266",NA,"0.005386313","0.28","0.116","0.569",NA,"6.091","0.000827812",0.000155183
"33","Zeeland","2015","1.07","2.904","0.964","10.56","0.842","0.08","1.084","0.421","0.56","1.752","0.902","47.5","0.984","0.39","0.229","229550.7229","0.653","0.217","0.751148272",NA,"0.00591516","0.29","0.12","0.568",NA,"6.606","0.005638376",0.000169731
"34","Zuid-Holland","2009","1.31","3.706","0.964","12.859","1.012","0.76","2.138","1.306","1.05","2.858","1.191","61","1.019498664","2.45","1.434","375172.1389","0.911601474","0.26500956","1.011","2305",NA,"1.04","0.214","1.204","121355","11.097","2.570670191",0.000849968
"35","Zuid-Holland","2012","1.31","3.706","0.964","12.528","0.999","1.56","4.759","1.268","1.24","3.456","1.44","62","1.011","2.45","1.434","768439","2.329","0.275","1.012100967",NA,"0.019316407","0.99","0.243","1.189",NA,"12.631","7.042170506",0.000312799
"36","Zuid-Holland","2015","1.12","3.055","1.015","12.528","0.999","1.15","3.167","1.231","1.09","2.98","1.534","47.5","0.984","2.45","1.434","493128.0304","1.403","0.294","1.01634765",NA,"0.021943009","1.08","0.247","1.171",NA,"11.865","4.859625793",0.000364677
